Time,Lat,Lon,Altitude,Accuracy,Heading,Speed,Battery
1455906733.999996,42.362039,-71.090802,8.757412,25.000000,57.304688,1.180000,0.470000
1455906734.999995,42.362046,-71.090794,8.639950,25.000000,57.656250,1.180000,0.470000
1455906735.999996,42.362052,-71.090785,8.605129,25.000000,57.656250,0.610000,0.470000
1455906736.999995,42.362060,-71.090773,8.579830,25.000000,57.656250,0.610000,0.470000
1455906737.999995,42.362069,-71.090758,8.577267,25.000000,57.656250,0.910000,0.470000
1455906738.999996,42.362077,-71.090746,8.542690,25.000000,58.007812,0.540000,0.470000
1455906739.999996,42.362086,-71.090735,8.610867,25.000000,58.007812,0.710000,0.470000
1455906740.999996,42.362098,-71.090726,8.509365,25.000000,58.007812,0.710000,0.470000
1455906741.999997,42.362112,-71.090719,8.459286,25.000000,5.976562,0.870000,0.470000
1455906742.999995,42.362128,-71.090714,8.243801,25.000000,359.296875,1.040000,0.470000
1455906743.999996,42.362142,-71.090710,8.242153,25.000000,58.007812,0.920000,0.470000
1455906744.999996,42.362154,-71.090704,8.155361,25.000000,8.085938,1.020000,0.470000
1455906745.999995,42.362164,-71.090692,8.066677,25.000000,33.398438,1.020000,0.470000
1455906746.999995,42.362173,-71.090677,8.172695,25.000000,48.164062,1.110000,0.470000
1455906747.999996,42.362182,-71.090659,8.151791,25.000000,53.437500,1.270000,0.470000
1455906748.999995,42.362191,-71.090641,8.293026,25.000000,51.328125,1.400000,0.470000
1455906749.999995,42.362198,-71.090622,8.191677,25.000000,56.601562,1.400000,0.470000
1455906750.999995,42.362204,-71.090603,7.995327,25.000000,65.390625,1.360000,0.470000
1455906751.999996,42.362208,-71.090579,8.048916,25.000000,74.882812,1.360000,0.470000
1455906752.999995,42.362211,-71.090549,8.200893,25.000000,78.046875,1.950000,0.470000
1455906753.999995,42.362215,-71.090528,8.309536,25.000000,74.882812,1.290000,0.470000
1455906754.999995,42.362220,-71.090511,8.294338,25.000000,70.664062,1.430000,0.470000
1455906755.999995,42.362227,-71.090491,8.508083,25.000000,61.523438,1.430000,0.470000
1455906756.999996,42.362235,-71.090473,8.710232,25.000000,61.171875,1.430000,0.470000
